protocol,N,f,latency_mean,latency_std,tps_mean,tps_std
dumbomvbastar,6,1,0.109527,0.0006896254055645,9130.462736666666,57.54010678473777
dumbomvbastar,16,5,0.362900125,0.0032357907817615,2755.7853965,24.726132230270206
dumbomvbastar,31,10,1.4531986774193548,0.0150577908923965,688.2083070322581,7.098856277635803
finmvba,6,1,0.0702576666666666,0.003702202731708,14264.171386666669,703.370897045769
finmvba,16,5,0.557645875,0.0069256831949394,1793.5137538125,22.44619287346388
finmvba,31,10,4.046748612903226,0.0389649472591947,247.1340481612903,2.370365074656634
hmvba,6,1,0.0976786666666666,0.0004685657549017,10237.854597666666,49.245816775089075
hmvba,16,3,0.320467625,0.003016184209118,3120.7045695,29.893599493001847
hmvba,31,6,2.2378372903225805,0.0349297806894475,446.9677422903226,7.132641747257047
hmvba,61,12,5.7218635901639345,0.0562666099391629,174.78466755737705,1.6991101136164624
hmvba,101,20,18.476363663366335,0.1431859733731816,54.12642056435644,0.4192170887574459
