protocol,N,B,latency_mean,latency_std
dumbomvbastar,6,0,0.0683308333333333,0.0002245452441417
dumbomvbastar,6,10,0.064011,0.0011196942439791
dumbomvbastar,6,100,0.0716901666666666,0.0011712180696465
dumbomvbastar,6,1000,0.109527,0.0006896254055645
dumbomvbastar,6,7000,0.2066888333333333,0.0030600059095803
dumbomvbastar,16,0,0.3197955625,0.0046499696051873
dumbomvbastar,16,10,0.3308645,0.0026166254858755
dumbomvbastar,16,100,0.3884278125,0.0023654778578192
dumbomvbastar,16,1000,0.362900125,0.0032357907817615
dumbomvbastar,16,7000,0.6180311875,0.0137050268890347
dumbomvbastar,31,0,1.4162069354838709,0.0187649164452096
dumbomvbastar,31,10,1.418813129032258,0.0176944954373611
dumbomvbastar,31,100,1.4595531612903223,0.0121678714410718
dumbomvbastar,31,1000,1.4531986774193548,0.0150577908923965
dumbomvbastar,31,7000,2.0217067741935484,0.0279510327605375
finmvba,6,0,0.0660013333333333,0.0008727232474654
finmvba,6,10,0.0573288333333333,0.0010414436934691
finmvba,6,100,0.0673455,0.0005677340046183
finmvba,6,1000,0.0702576666666666,0.003702202731708
finmvba,6,7000,0.163215,0.0122433318831109
finmvba,16,0,0.4689941875,0.0034982108611641
finmvba,16,10,0.46665425,0.0038288578366574
finmvba,16,100,0.4965340625,0.0057268319161499
finmvba,16,1000,0.557645875,0.0069256831949394
finmvba,16,7000,0.99257325,0.0336896941798724
finmvba,31,0,3.5989103548387096,0.0288458086644008
finmvba,31,10,3.647525290322581,0.0242334394452425
finmvba,31,100,3.762797612903226,0.0226745421985059
finmvba,31,1000,4.046748612903226,0.0389649472591947
finmvba,31,7000,6.011438741935484,0.0685964472602712
hmvba,6,10,0.0599056666666666,0.000532415501903
hmvba,6,100,0.0607059999999999,0.0002304569374091
hmvba,6,1000,0.0976786666666666,0.0004685657549017
hmvba,6,7000,0.2123638333333333,0.0008762539396012
hmvba,16,0,0.2407571875,0.001537670888877
hmvba,16,10,0.2554725,0.0030076903874346
hmvba,16,100,0.3166518749999999,0.0026029665608045
hmvba,16,1000,0.320467625,0.003016184209118
hmvba,16,7000,0.731925375,0.0029114137659677
hmvba,31,0,1.155979258064516,0.0105093901502981
hmvba,31,10,0.924209064516129,0.0090931204872529
hmvba,31,100,1.525643677419355,0.0141574258851131
hmvba,31,1000,2.2378372903225805,0.0349297806894475
hmvba,31,7000,2.441666870967742,0.013472395537399
hmvba,61,0,4.528852032786885,0.0381355857378062
hmvba,61,10,4.807255442622951,0.0477736408725302
hmvba,61,100,5.075745967213114,0.0468019188260365
hmvba,61,1000,5.7218635901639345,0.0562666099391629
hmvba,61,7000,10.789856,0.0548539080458264
hmvba,101,0,17.136256396039602,0.1452134300039139
hmvba,101,10,16.253231485148515,0.1289912240789747
hmvba,101,100,16.58862177227723,0.1405214776662189
hmvba,101,1000,18.476363663366335,0.1431859733731816
