protocol,N,f,tps_mean,tps_std
dumbomvbastar,6,1,9130.462736666666,57.54010678473777
dumbomvbastar,16,5,2755.7853965,24.726132230270206
dumbomvbastar,31,10,688.2083070322581,7.098856277635803
finmvba,6,1,14264.171386666669,703.370897045769
finmvba,16,5,1793.5137538125,22.44619287346388
finmvba,31,10,247.1340481612903,2.370365074656634
hmvba,6,1,10237.854597666666,49.245816775089075
hmvba,16,3,3120.7045695,29.893599493001847
hmvba,31,6,446.9677422903226,7.132641747257047
hmvba,61,12,174.78466755737705,1.6991101136164624
hmvba,101,20,54.12642056435644,0.4192170887574459
